year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,130550431.0,1.0,1.0,13.452500343322754,25.0,0.0,9.0,1.0,2.0,0.0,,,,0.0,,3.0,,河北,0.5,0.39699784
2014,370190102.0,,1.0,1.6668750047683716,47.0,1.0,0.0,1.0,3.0,0.0,,,,1.0,0.0,2.0,4.0,山东,0.5,1.1863058
2014,220082101.0,1.0,1.0,5.534999847412109,43.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,3.0,,吉林,0.33333334,0.7276798
2014,411057103.0,1.0,0.0,1.057220458984375,24.0,1.0,15.0,0.0,5.0,0.0,3.0,48.0,2700.0,1.0,35000.0,3.0,4.0,,0.0,0.38077104
2014,420351101.0,1.0,0.0,22.639999389648438,50.0,1.0,6.0,1.0,3.0,0.0,3.0,70.0,1800.0,1.0,20000.0,4.0,4.0,湖北,0.0,0.47716987
2014,411193103.0,0.0,1.0,18.15999984741211,56.0,0.0,0.0,0.0,1.0,0.0,,30.0,,1.0,0.0,3.0,3.0,河南,0.0,0.6801445
2014,130544101.0,1.0,1.0,20.399999618530273,49.0,0.0,9.0,0.0,3.0,1.0,5.0,,,0.0,,2.0,3.0,河北,0.0,0.46666667
2014,411137431.0,0.0,1.0,31.584999084472656,32.0,0.0,9.0,1.0,3.0,0.0,,1.0,,1.0,0.0,3.0,3.0,河南,0.5,0.68113214
2014,370526103.0,0.0,1.0,16.775625228881836,20.0,1.0,12.0,0.0,3.0,0.0,,,,0.0,,3.0,,山东,0.0,1.7334576
2014,140268101.0,1.0,0.0,2.422499895095825,44.0,1.0,9.0,1.0,3.0,1.0,3.0,56.0,3000.0,1.0,3000.0,3.0,3.0,山西,0.0,0.2741539
2014,310286101.0,1.0,0.0,1852.8900146484375,54.0,1.0,15.0,1.0,1.0,0.0,,40.0,10000.0,1.0,150000.0,3.0,4.0,上海,0.0,0.88448846
2014,230073101.0,1.0,1.0,40.30500030517578,59.0,1.0,0.0,1.0,1.0,0.0,,40.0,,1.0,0.0,3.0,4.0,黑龙江,0.5,1.4440349
2014,620839101.0,0.0,1.0,21.512500762939453,60.0,0.0,0.0,1.0,4.0,0.0,,,,1.0,,3.0,5.0,甘肃,0.5,0.008708273
2014,510133101.0,1.0,0.0,68.05999755859375,47.0,0.0,6.0,0.0,1.0,0.0,,,,0.0,,1.0,,四川,0.0,
2014,441570101.0,0.0,1.0,12.637499809265137,54.0,1.0,9.0,1.0,4.0,0.0,,50.0,,1.0,0.0,5.0,4.0,广东,0.16666667,1.2314113
2014,510524102.0,0.0,1.0,55.36185073852539,52.0,0.0,,1.0,3.0,0.0,,21.0,,1.0,0.0,5.0,4.0,四川,0.0,0.08485264
2014,621827101.0,1.0,1.0,8.130000114440918,51.0,1.0,6.0,1.0,4.0,0.0,8.0,70.0,,1.0,0.0,5.0,3.0,甘肃,0.0,1.1814746
2014,211353101.0,1.0,1.0,39.21066665649414,50.0,1.0,9.0,1.0,1.0,0.0,,28.0,,1.0,0.0,1.0,3.0,辽宁,0.75,
2014,440354104.0,1.0,1.0,0.20000000298023224,24.0,0.0,9.0,0.0,5.0,0.0,8.0,48.0,3500.0,1.0,42000.0,2.0,3.0,,0.0,1.05
