pid,year,gender,age,educ,marriage,child_num,job,job_precarity,job_security_dummy,bianzhi,wage,industry,provname
350062102,2014,1.0,22,9.0,1.0,0,0,,,,,制造业,福建
350083104,2014,0.0,34,6.0,1.0,0,1,,0.0,,,制造业,福建
350196105,2014,0.0,23,15.0,0.0,0,1,,0.0,,20000.0,租赁和商务服务业,福建
350113106,2014,0.0,25,15.0,0.0,0,1,2.0,1.0,,24000.0,租赁和商务服务业,福建
350160103,2014,1.0,47,12.0,1.0,0,0,,,,,住宿和餐饮业,福建
350150101,2014,1.0,39,9.0,1.0,1,1,,0.0,,15800.0,制造业,福建
350115101,2014,0.0,29,6.0,0.0,0,1,,,,20000.0,,福建
430142101,2014,1.0,50,12.0,1.0,0,1,2.0,1.0,,41600.0,金融业,湖南
430112102,2014,0.0,48,15.0,1.0,0,1,2.0,1.0,,36400.0,制造业,湖南
430132102,2014,1.0,61,15.0,1.0,0,1,,0.0,,12000.0,卫生、社会保障和社会福利业,湖南
430086101,2014,1.0,39,15.0,1.0,1,1,,1.0,,24924.0,公共管理和社会组织,湖南
430136101,2014,1.0,33,12.0,1.0,1,1,2.0,0.0,,30500.0,批发和零售业,湖南
430139101,2014,0.0,46,12.0,1.0,0,1,2.0,0.0,,48000.0,批发和零售业,湖南
430004101,2014,1.0,60,16.0,0.0,0,0,2.0,,,,教育,湖南
430077102,2014,1.0,38,15.0,1.0,1,1,2.0,,,,批发和零售业,湖南
430124103,2014,1.0,55,15.0,0.0,0,1,2.0,,,,文化、体育和娱乐业,湖南
430102103,2014,1.0,37,16.0,1.0,1,1,2.0,,,,制造业,湖南
430024102,2014,1.0,46,15.0,1.0,0,1,2.0,,,,公共管理和社会组织,湖南
430089101,2014,1.0,34,16.0,0.0,1,1,2.0,,,,文化、体育和娱乐业,湖南
430148101,2014,1.0,45,12.0,1.0,0,1,2.0,1.0,,30000.0,交通运输、仓储和邮政业,湖南
430243102,2014,0.0,48,6.0,1.0,1,1,,0.0,,,交通运输、仓储和邮政业,湖南
430214101,2014,0.0,48,12.0,1.0,0,1,2.0,1.0,,90000.0,交通运输、仓储和邮政业,湖南
430215102,2014,0.0,49,12.0,1.0,0,1,2.0,1.0,,30000.0,制造业,湖南
430184102,2014,0.0,43,9.0,1.0,1,1,2.0,1.0,,36000.0,制造业,湖南
430151102,2014,1.0,43,12.0,1.0,1,1,2.0,1.0,,35000.0,制造业,湖南
430193101,2014,0.0,51,12.0,1.0,0,1,,1.0,,19000.0,住宿和餐饮业,湖南
430156102,2014,0.0,58,12.0,0.0,0,1,2.0,1.0,,36000.0,制造业,湖南
430211101,2014,0.0,38,15.0,1.0,1,1,2.0,1.0,,48400.0,制造业,湖南
430158101,2014,0.0,28,15.0,1.0,0,1,2.0,0.0,,50000.0,制造业,湖南
430325103,2014,0.0,38,9.0,1.0,0,1,,0.0,,,建筑业,湖南
955383403,2014,0.0,26,12.0,1.0,1,1,2.0,0.0,,,批发和零售业,湖南
430380101,2014,0.0,50,9.0,1.0,0,0,,,,40000.0,,湖南
430276101,2014,0.0,59,6.0,1.0,2,1,,0.0,,10400.0,住宿和餐饮业,湖南
430360103,2014,0.0,25,9.0,0.0,0,1,,0.0,,,水利、环境和公共设施管理业,湖南
430425102,2014,0.0,42,6.0,1.0,2,1,,0.0,,16000.0,建筑业,湖南
430496501,2014,1.0,23,9.0,1.0,1,0,2.0,,,,住宿和餐饮业,湖南
430434101,2014,1.0,42,6.0,1.0,1,0,2.0,,,,制造业,湖南
430460102,2014,1.0,40,9.0,1.0,1,1,,0.0,,7500.0,无法编码,湖南
117661501,2014,1.0,31,12.0,1.0,1,0,,0.0,,,制造业,湖南
430490102,2014,1.0,35,9.0,1.0,1,0,2.0,1.0,,28000.0,制造业,湖南
430458103,2014,1.0,24,12.0,1.0,1,1,,0.0,,4000.0,批发和零售业,湖南
430558101,2014,1.0,46,0.0,0.0,0,0,2.0,,,,交通运输、仓储和邮政业,湖南
430585501,2014,1.0,26,15.0,1.0,4,0,,,,,信息传播、计算机服务和软件业,湖南
430509107,2014,0.0,37,9.0,1.0,2,1,,,,100000.0,,湖南
430534103,2014,0.0,19,12.0,0.0,0,1,,0.0,,,信息传播、计算机服务和软件业,湖南
430535105,2014,1.0,25,12.0,1.0,0,1,2.0,1.0,,,居民服务和其他服务业,湖南
430552103,2014,1.0,27,9.0,1.0,2,1,,0.0,,24000.0,制造业,湖南
430548103,2014,0.0,24,15.0,0.0,0,1,2.0,0.0,,,批发和零售业,湖南
430581101,2014,0.0,64,0.0,1.0,3,1,,0.0,,50000.0,制造业,湖南
430666101,2014,0.0,60,16.0,1.0,0,1,2.0,0.0,,10000.0,建筑业,湖南
430638101,2014,1.0,42,9.0,1.0,2,1,,1.0,,,水利、环境和公共设施管理业,湖南
430625101,2014,1.0,38,12.0,0.0,1,1,2.0,1.0,,25000.0,水利、环境和公共设施管理业,湖南
430611102,2014,1.0,47,15.0,1.0,0,1,,1.0,,40000.0,公共管理和社会组织,湖南
430718103,2014,1.0,23,12.0,0.0,0,1,,0.0,,7000.0,住宿和餐饮业,湖南
430614101,2014,0.0,50,9.0,1.0,0,1,2.0,,,,水利、环境和公共设施管理业,湖南
430728103,2014,0.0,31,6.0,1.0,1,1,,,,20000.0,,湖南
330201101,2014,1.0,43,6.0,1.0,1,1,2.0,1.0,,,制造业,浙江
330199101,2014,1.0,38,15.0,1.0,0,1,2.0,0.0,,45000.0,教育,浙江
330188102,2014,1.0,30,16.0,1.0,1,1,2.0,1.0,,,卫生、社会保障和社会福利业,浙江
330187103,2014,1.0,28,16.0,0.0,0,1,2.0,1.0,,50000.0,教育,浙江
330140101,2014,0.0,54,15.0,0.0,0,1,,,,,租赁和商务服务业,浙江
330234102,2014,0.0,25,16.0,0.0,0,0,2.0,1.0,,57000.0,批发和零售业,浙江
330238103,2014,1.0,51,6.0,1.0,0,0,,1.0,,30000.0,制造业,浙江
330249101,2014,0.0,49,9.0,1.0,0,1,2.0,1.0,,40000.0,制造业,浙江
330245103,2014,0.0,29,15.0,1.0,1,1,2.0,1.0,,45000.0,批发和零售业,浙江
330203101,2014,0.0,45,9.0,1.0,0,1,2.0,1.0,,50000.0,制造业,浙江
330212101,2014,0.0,39,9.0,1.0,1,1,,,,30000.0,,浙江
330177102,2014,0.0,54,12.0,1.0,1,0,2.0,1.0,,32200.0,信息传播、计算机服务和软件业,浙江
330006103,2014,1.0,30,15.0,1.0,1,1,2.0,1.0,,50000.0,教育,浙江
330074102,2014,1.0,52,9.0,1.0,0,1,,,,36000.0,,浙江
330033102,2014,1.0,34,12.0,1.0,1,1,,1.0,,36000.0,批发和零售业,浙江
330087103,2014,1.0,21,12.0,0.0,0,1,2.0,1.0,,40000.0,批发和零售业,浙江
330095104,2014,0.0,34,9.0,1.0,1,1,,0.0,,24000.0,制造业,浙江
330108101,2014,1.0,46,12.0,1.0,0,1,2.0,,,,制造业,浙江
330012101,2014,0.0,32,15.0,1.0,1,1,2.0,1.0,,60000.0,交通运输、仓储和邮政业,浙江
330007101,2014,1.0,33,9.0,1.0,1,1,2.0,,,,制造业,浙江
330096102,2014,0.0,59,0.0,1.0,2,1,2.0,0.0,,50000.0,制造业,浙江
330101431,2014,1.0,26,12.0,1.0,1,1,,0.0,,,批发和零售业,浙江
330016101,2014,0.0,45,0.0,1.0,0,1,,0.0,,,交通运输、仓储和邮政业,浙江
330135102,2014,0.0,27,16.0,1.0,0,1,2.0,1.0,,40000.0,制造业,浙江
330050101,2014,0.0,42,9.0,1.0,1,1,2.0,1.0,,150000.0,制造业,浙江
330077102,2014,1.0,44,9.0,1.0,0,1,,,,,制造业,浙江
230047103,2014,0.0,29,15.0,0.0,0,1,2.0,1.0,,50000.0,教育,浙江
330045101,2014,0.0,56,6.0,0.0,0,0,,,,,,浙江
520496104,2014,0.0,19,9.0,0.0,0,1,,,,30000.0,,浙江
330004101,2014,1.0,54,12.0,1.0,0,1,2.0,0.0,,21000.0,卫生、社会保障和社会福利业,浙江
330035102,2014,0.0,43,9.0,1.0,1,1,,0.0,,60000.0,建筑业,浙江
330047103,2014,1.0,56,0.0,1.0,0,1,,0.0,,2700.0,制造业,浙江
330344101,2014,1.0,48,6.0,1.0,0,1,,0.0,,17000.0,建筑业,浙江
